;Navn:;a;;Check for duplicates:;;a;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Emne;Tema;Gr. ;Uke nr. ;Dato;Dag;Tid;Tidspunkt;Foreleser;Rom;Undervisningsform;Kommentarer;Oppgaver/innleveringer;Helper1 (Date + Time + Name);Helper2 (Date + Time + Room);Helper1 Instance;Helper2 Instance;Check for Duplicates
;G2-KRO1300;Teori KRØ;;2;08.jan;mandag;1;08:15-09:45;???;;Teori;;;4310808:15-09:45???;4310808:15-09:45;1;1;1
;BI-BAO3000;Økt 1;;2;08.jan;mandag;f;08:15-11:45;Markus Vagle;;Teori;;;4310808:15-11:45Markus Vagle;4310808:15-11:45;1;3;3
;G1-KRO1100;Oppstart + friluft teori;;2;08.jan;mandag;f;08:15-11:45;Simen Thorrud;;Teori;G1 og G2 sammen ca. 30 pers;;4310808:15-11:45Simen Thorrud;4310808:15-11:45;2;3;3
;G2-KRO1300;Oppstart + friluft teori;;2;08.jan;mandag;f;08:15-11:45;Simen Thorrud;;Teori;G1 og G2 sammen ca. 30 pers;;4310808:15-11:45Simen Thorrud;4310808:15-11:45;2;3;3
;G1-KRO1100;Ballbasis;;2;08.jan;mandag;3;12:15-13:45;Simen Thorrud;Idrettshall;Praktisk;;;4310812:15-13:45Simen Thorrud;4310812:15-13:45Idrettshall;1;1;1
;G2-KRO1300;Skolerettet tvekamp;;2;08.jan;mandag;3;12:15-13:45;Erlend Ellefsen Vinje;Dansesal;Praktisk;;;4310812:15-13:45Erlend Ellefsen Vinje;4310812:15-13:45Dansesal;1;1;1
;BI-IDR1301;Anatomi;;2;08.jan;mandag;e;12:15-15:45;Markus Vagle;;Teori;;;4310812:15-15:45Markus Vagle;4310812:15-15:45;1;1;1
;G2-KRO1300;Innebandy;;2;08.jan;mandag;4;14:15-15:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4310814:15-15:45Fredrik Lie Haugen;4310814:15-15:45Idrettshall;1;1;1
;BI-IDR1301;Kollokvie;;2;09.jan;tirsdag;1;08:15-09:45;Markus Vagle;;Teori;;;4310908:15-09:45Markus Vagle;4310908:15-09:45;1;1;1
;G1-KRO1100;Ballbasis;;2;09.jan;tirsdag;1;08:15-09:45;Simen Thorrud;Idrettshall;Praktisk;;;4310908:15-09:45Simen Thorrud;4310908:15-09:45Idrettshall;1;1;1
;G2-KRO1400;Teori KRØ;;2;09.jan;tirsdag;f;08:15-11:45;???;;Teori;;;4310908:15-11:45???;4310908:15-11:45;1;1;1
;BI-IDR1401;Innebandy;A;2;09.jan;tirsdag;2;10:15-11:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4310910:15-11:45Fredrik Lie Haugen;4310910:15-11:45Idrettshall;1;1;1
;G1-KRO1100;Didaktikk teori;;2;09.jan;tirsdag;2;10:15-11:45;Markus Johansen Aasland;;Teori;;;4310910:15-11:45Markus Johansen Aasland;4310910:15-11:45;1;1;1
;BI-IDR1401;Innebandy;B;2;09.jan;tirsdag;3;12:15-13:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4310912:15-13:45Fredrik Lie Haugen;4310912:15-13:45Idrettshall;1;1;1
;G2-KRO1300;Skolerettet tvekamp;;2;09.jan;tirsdag;3;12:15-13:45;Erlend Ellefsen Vinje;Dansesal;Praktisk;;;4310912:15-13:45Erlend Ellefsen Vinje;4310912:15-13:45Dansesal;1;1;1
;BI-FAH2300;Økt 1;;2;09.jan;tirsdag;e;12:15-15:45;Anne Sæther;;Teori;;;4310912:15-15:45Anne Sæther;;;;
;G1-KRO1200;Teori KRØ;;2;09.jan;tirsdag;e;12:15-15:45;Simen Thorrud;;Teori;;;4310912:15-15:45Simen Thorrud;;;;
;G2-KRO1300;Håndball;;2;09.jan;tirsdag;4;14:15-15:45;Eivind Andersen;Idrettshall;Praktisk;;;4310914:15-15:45Eivind Andersen;4310914:15-15:45Idrettshall;1;1;1
;G2-KRO1400;Teori KRØ;;2;10.jan;onsdag;1;08:15-09:45;???;;Teori;;;4311008:15-09:45???;4311008:15-09:45;1;1;1
;BI-IDR1301;Anatomi;;2;10.jan;onsdag;f;08:15-11:45;Markus Vagle;;Teori;;;4311008:15-11:45Markus Vagle;4311008:15-11:45;1;1;1
